-816 1908 16056 -215 232 7
-716 2076 15852 -220 199 17
-764 1940 15972 -223 225 6
-724 1944 15988 -204 211 3
-780 1976 15972 -201 199 -4
-744 1984 15812 -206 193 4
-696 1992 15880 -218 189 12
-732 1960 15896 -221 213 9
-764 1984 15944 -230 214 27
-744 1968 15768 -203 189 12
-704 1924 15816 -233 217 3
-752 2112 15952 -185 236 26
-836 1924 15988 -188 227 7
-788 2048 15748 -210 203 6
-808 1972 15956 -212 192 20
-852 1968 15852 -215 215 11
-664 2060 15916 -202 207 3
-800 1988 15984 -204 246 11
-640 2044 15884 -229 217 8
-812 1964 15924 -202 203 19
-736 2060 15944 -194 190 10
-672 2064 15840 -213 240 3
-832 2040 15980 -243 217 28
-764 1916 15956 -229 212 24
-844 2040 15888 -210 206 14
-688 2020 15952 -195 213 15
-788 2000 15976 -224 226 16
-784 1980 15840 -214 226 19
-732 2012 15752 -232 211 11
-776 2016 15900 -217 216 12
-748 1924 15800 -227 207 11
-648 1996 15904 -188 194 9
-744 2008 15816 -236 203 17
-720 1968 16068 -210 212 9
-792 2004 15972 -212 207 10
-820 2136 15928 -219 221 -3
-804 2000 16000 -232 201 4
-728 1924 15784 -205 188 -20
-668 1944 15928 -215 205 2
-688 2020 15956 -245 213 15
-624 2000 15932 -209 203 19
-676 1984 15844 -208 199 3
-652 1956 15948 -225 203 6
-704 2028 15780 -221 224 5
-668 2056 15808 -204 196 5
-700 1980 15900 -219 194 14
-676 2032 15996 -210 226 0
-696 2008 15916 -202 207 7
-700 2020 15888 -202 201 4
-692 2016 15972 -216 227 -19
-768 2000 15664 -226 222 -2
-720 2132 15948 -203 211 0
-692 1888 15844 -201 210 7
-744 2008 15812 -225 209 0
-736 1928 15768 -217 208 4
-712 1940 15948 -213 197 9
-684 2032 15772 -217 204 -8
-760 2056 15888 -198 199 20
-708 2016 16020 -209 216 13
-728 1992 15796 -224 212 -2
-772 2000 15908 -207 218 -3
-696 2028 15824 -203 232 21
-680 1976 15880 -221 204 10
-788 1964 15644 -223 224 13
-760 1904 15920 -203 221 33
-788 2012 15876 -214 215 22
-756 1984 15944 -207 180 12
-756 2016 16040 -222 201 6
-732 2044 15776 -210 189 15
-720 1988 15952 -189 193 -2
-788 1912 15808 -191 214 12
-852 1948 15968 -205 202 2
-644 2004 15848 -214 209 3
-708 1956 16056 -214 221 -1
-732 2004 15768 -216 217 9
-680 2008 15800 -222 219 13
-676 2032 15976 -213 197 14
-692 1928 15828 -199 217 16
-748 1956 15840 -219 213 -4
-780 2004 15816 -215 213 -24
-804 2000 15812 -203 210 19
-716 1960 15924 -215 206 11
-784 1948 15872 -200 207 -2
-700 2136 15860 -222 217 6
-760 1984 15872 -219 221 13
-700 2060 15888 -222 218 13
-816 2004 15896 -216 218 11
-764 1924 15780 -224 228 14
-748 2036 15900 -219 206 9
-656 1960 15916 -206 246 2
-760 2024 16068 -208 201 -3
-836 1992 15900 -217 202 8
-752 2016 15852 -193 210 -1
-704 1920 15960 -225 219 19
-756 2028 15768 -210 205 9
-720 1984 15948 -219 234 10
-800 1996 15856 -197 206 12
-744 1948 15936 -199 213 17
-728 1992 15916 -219 209 2
-800 1932 15976 -215 215 43
-764 2068 15792 -217 182 16
-788 1996 15948 -211 196 13
-744 2036 15964 -213 205 5
-748 2068 15916 -216 211 12
-732 1972 15860 -219 203 4
-696 1960 15872 -224 195 21
-744 1956 15924 -220 228 13
-780 1996 15716 -211 218 12
-740 2000 15752 -201 204 28
-732 1976 15860 -209 198 12
-704 1980 16008 -215 203 12
-784 1876 15952 -213 219 5
-708 1996 15932 -235 219 0
-680 2012 15820 -222 203 -13
-680 1976 15972 -205 209 17
-680 1980 16020 -212 234 6
-748 1980 15872 -209 231 14
-732 1992 15872 -206 175 13
-740 1896 15772 -217 222 -1
-816 2020 15824 -221 213 6
-740 1920 15964 -225 219 -2
-820 1996 15852 -219 196 -6
-668 1928 15808 -232 209 11
-780 1880 15796 -234 204 2
-604 1956 16000 -203 198 4
-740 2024 15860 -206 200 19
-836 2016 15840 -210 209 31
-756 1980 16008 -224 214 10
-716 1944 15840 -216 207 13
-748 1948 15788 -226 196 19
-680 2036 15924 -222 189 13
-752 1920 15736 -211 202 -13
-796 1952 15756 -214 238 7
-704 2052 15852 -214 199 2
-720 1964 16004 -224 207 17
-700 2040 15852 -200 241 3
-736 1972 15892 -205 193 3
-856 1972 15880 -210 204 19
-828 2004 15980 -199 226 19
-720 2052 15712 -191 194 35
-628 1968 15996 -214 201 6
-748 2016 15892 -215 239 28
-692 1916 15952 -228 203 15
-664 2068 15788 -217 225 1
-772 2048 15904 -218 211 -1
-656 1960 15968 -210 202 27
-744 1932 15784 -225 210 -7
-756 1996 15864 -211 185 -2
-692 1992 15924 -222 202 17
-656 2000 15924 -199 206 14
-864 2008 15848 -226 205 18
-680 1992 15780 -205 222 18
